ID	Link	Authors	Year	Title	Article type	Venue	Direct quotes	Other info	Bibtex citation	Related papers	Tags
ID_011	https://bpspsychub.onlinelibrary.wiley.com/doi/pdf/10.1111/bjep.12061?casa_token=Zdjg0Rfjw98AAAAA%3AotK7Z6ndmKQAJmC-_b9ESBZXIqhSiF2UedRJlo6Y_JHLdIBCgdwsQrdgIW6GY65ZraTzaYaUc97U7TGx	Marie-Therese van de Kamp;Wilfried Admiraal;Jannet van Drie;Gert Rijlaarsdam	2014	Enhancing divergent thinking in visual arts education: Effects of explicit instruction of meta-cognition	Article	The British Psychological Society	"* A **quasi-experimental design** was implemented with **147
secondary school students in visual arts education**. In the experimental condition,
students attended a series of regular lessons with assignments on art reception and
production, and they attended one intervention lesson with explicit instruction of meta-
cognition. In the control condition, students attended a series of regular lessons only. Pre-
test and post-test instances tests measured fluency, flexibility, and originality as indicators
of divergent thinking
* **Explicit instruction of meta-cognitive knowledge** had a **positive effect on
fluency and flexibility**, but not on originality."		"@article{van2015enhancing,
  title={Enhancing divergent thinking in visual arts education: Effects of explicit instruction of meta-cognition},
  author={Van de Kamp, Marie-Th{\'e}r{\`e}se and Admiraal, Wilfried and van Drie, Jannet and Rijlaarsdam, Gert},
  journal={British Journal of Educational Psychology},
  volume={85},
  number={1},
  pages={47--58},
  year={2015},
  publisher={Wiley Online Library},
  doi={10.1111/bjep.12061}
}"	ID_015 | Builds up by explaining importance of social metacognition;ID_010 | Talks about which communication interfaces are most effective	Metacognition - Intervention;Metacognition;Offline Intervention;Empirical;Secondary Education
ID_012	https://bera-journals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/bjet.13544?casa_token=rUn6KvthNnUAAAAA:CDGdJoLFqUpAe1aSwcqr2AjKA-dH-Rq86iSvC6-mv3dEsT-kbEg9_ckhphLx7pEQ1O6In0z3esbXDlHr	Yizhou Fan;Luzhen Tang;Huixiao Le;Kejie Shen;Shufang Tan;Yueying Zhao;Yuan Shen;Xinyu Li;Dragan Gašević	2024	Beware of metacognitive laziness: Effects of generative artificial intelligence on learning motivation, processes, and performance	Article	British Journal of Education Technology	"* we conducted a **randomised experimental study** and compared learners' motivations, self-regulated learning processes and learning performances on a writing task among different groups who had support from different agents, that is, ChatGPT, chat with a human
expert, writing analytics tools, and no extra tool. 
* A total of **117 university students** were recruited
* The results revealed that: (1) learners who received different learning support showed no difference in post-task intrinsic motivation;(2) there were significant differences in the frequency
and sequences of the self-regulated learning processes among groups;(3) ChatGPT group outperformed in the essay score improvement but their knowledge gain --> ** Actually no real impact of intervention on learning**
* We found that **AI technologies such as ChatGPT may promote learners' dependence on technology and potentially trigger metacognitive ""laziness""**, which can potentially hinder their ability to self-regulate and engage deeply in learning. --> **Coined term 'Metacognitive Laziness'**
* We also found that ChatGPT can significantly improve short-term task performance, but it may not boost intrinsic motivation and knowledge gain and transfer."	"* Had participants write an essay, than watch a 1 h video based on condition (ChatGPT, Human Expert an Cechklist), and then revise the essay. They were then scored based on Intrinsic Motivation Inventory, improvement performance and behavioural indicators (e.g. click streams)
* Used ChatGPT API but in an own tool"	"@article{fan2025beware,
  title={Beware of metacognitive laziness: Effects of generative artificial intelligence on learning motivation, processes, and performance},
  author={Fan, Yizhou and Tang, Luzhen and Le, Huixiao and Shen, Kejie and Tan, Shufang and Zhao, Yueying and Shen, Yuan and Li, Xinyu and Ga{\v{s}}evi{\'c}, Dragan},
  journal={British Journal of Educational Technology},
  volume={56},
  number={2},
  pages={489--530},
  year={2025},
  publisher={Wiley Online Library},
  doi={0.1111/bjet.13544}
}"	ID_023 | Kinda contrasts findings;ID_026 | Interventions can help;ID_048 | Talks about creative (non ed) interventions	Metacognition - Intervention;Main Paper;Metacognition;Empirical
ID_013	https://www.upf.edu/web/tide	Pau Benazet i Montobbio, Davinia Hernandez-Leo	2026	Fostering Metacognitive Awareness for Effective Human–AI Collaboration in Learning	Poster	International Society of the Learning Sciences	"* Students are already using these tools regardless of institutional policies (Yan et al., 2024), **shifting the educational question from whether to allow AI toward how to help students develop effective collaborative strategies with these systems** that support rather than undermine their learning
* Inappropriate use [of AI] can impair memory formation, reduce problem-solving skills, and create an ""illusion of competence"" (Gerlich, 2025;Kosmyna et al., 2025). Conversely, strategic human-AI collaboration following established learning principles has been shown to enhance learning outcomes (Orynbassarova & De Lasala Porta, 2024;Zhang et al., 2024). 
* Evidence suggests that many students lack this consciousness on how interacting with AI systems affects their cognitive processes. For example, a study observed that students heavily relying on LLMs exhibited what was termed “metacognitive laziness”;low metacognitive processing, where students avoided engaging in self-regulation crucial for deep learning (Fan et al., 2025)
* **Without proper pedagogical intervention, students may develop and solidify counterproductive AI usage patterns**, while simultaneously experiencing an “illusion of competence”;believing they have learned or generated mental structure on material that was actually completely offloaded to an AI system (Castel et al., 2007;Dunning, 2011;Kruger & Dunning, 1999)"	"* **great starting point for literature review!!!**
* **investigated how different pedagogical approaches influence students’ metacognitive awareness of AI’s role in learning (126 first-year engineering students)**
* Students who engaged experientially developed stronger awareness of how AI affects memory, thinking processes, and reported greater intentions to use AI strategically for idea generation. In contrast, lecture-based instruction increased confidence in AI use without corresponding metacognitive growth, suggesting a risk of superficial or unreflective collaboration and false confidence
* findings indicate that **direct experience with AI’s cognitive impacts is essential for developing the metacognitive awareness that supports reflective, strategic human–AI partnerships** that act as learning potentiators
* Well strucutred exercises can lead to a positive change in metacognition regarding this specific human-AI collaboration pattern in a learning process as well as in human-AI collaboration in memory encoding
* intervention [teaching students about human-AI colaboration] might operate on multiple levels: converting skeptics while deepening understanding among believers"		ID_012 | Cites, and uses term;ID_014 | Uses ISAR framework	Metacognition - Intervention;Metacognition;Empirical
ID_014	https://link.springer.com/content/pdf/10.1007/s10648-025-10020-8.pdf	Elisabeth Bauer;Samuel Greiff;Arthur C. Graesser;Katharina Scheiter;Michael Sailer	2025	Looking Beyond the Hype: Understanding the Effects of AI on Learning	Article	Educational Psychology Review	No direct quotes, but introduces the **ISAR framework**	"As described in Pau and Davinia in their poster: The ISAR model proposed by Bauer et al. (2025) provides a framework for understanding the different impacts of human-AI collaboration in learning processes. It categorizes them into four effects: 
* **inversion** (where AI undermines deep learning)
* **substitution** (where AI replaces a learning process without adding value)
* **augmentation** (where AI enhances learning processes through added support)
* **redefinition** (where AI enables new deep learning processes which were previously not feasible)
* The framework suggests that these **systems are neither inherently positive or negative actors** but rather depend solely on how they are used and framed inside a learning process"	"@article{bauer2025looking,
  title={Looking beyond the hype: Understanding the effects of AI on learning},
  author={Bauer, Elisabeth and Greiff, Samuel and Graesser, Arthur C and Scheiter, Katharina and Sailer, Michael},
  journal={Educational Psychology Review},
  volume={37},
  number={2},
  pages={45},
  year={2025},
  publisher={Springer},
  doi={10.1007/s10648-025-10020-8}
}"		ISAR Framework;Human-AI Collaboration
ID_015	https://repository.eduhk.hk/en/publications/social-metacognition-in-groups-benefits-difficulties-learning-and/	Ming Ming Chiu;Sze Wing Kuo	2009	Social metacognition in groups: Benefits, difficulties, learning and teaching	Book Chapter	Metacognition: New research developments	"* **Social metacognition distributes metacognitive responsibilities across group members**, makes metacognition visible to facilitate learning, and improves individual cognitive processes
* Social metacognition mitigates the challenges of inadequate metacognitive resources, inaccurate selfevaluations, misallocation of cognitive resources, unsuitable choice of solution strategy, or misuse of feedback --> **Metacognition requires extra cognitive demans**"		"@incollection{choi2009social,
  author    = {Choi, Mun Ming and Kuo, Shu Wen},
  title     = {Social metacognition in groups: Benefits, difficulties, learning and teaching},
  booktitle = {Metacognition: New research developments},
  editor    = {Larson, C. B.},
  year      = {2009},
  pages     = {117--136},
  publisher = {Nova Science Publishers},
  address   = {New York}
}"	ID_035 | Uses social metacognition in regards to GenAI;ID_041 | Talks about Interleaving vs blocking	Metacognition - Mechanisms;Theoretical;Metacognition;Social Metacognition
ID_016	http://www.scielo.org.co/scielo.php?pid=S0121-43812020000100009&script=sci_arttext&tlng=en	Duván Ferney Merchán Garzón;Adriana Patricia Huertas Bustos;José Orlando Ugarte Lizarazo	2020	Relationship between metacognitive skills, gender, and level of schooling in high school students	Article	Suma Psicológica	"* analyze the **relationships between metacognitive skills, gender, and level of schooling of high school students** from a private school in Colombia
* sample included 319 students from grades 6 to 11
* The first analysis concluded that there are **no significant differences in metacognitive skills between men and women**
* the second analysis established **differences in the development of metacognitive skills in high school students, favoring sixth grade novices** --> **CONTRASTING FINDINGS**"		"@article{merchan2020relationship,
  title={Relationship between metacognitive skills, gender, and level of schooling in high school students},
  author={Merch{\'a}n Garz{\'o}n, Duv{\'a}n Ferney and Huertas Bustos, Adriana Patricia and Ugarte Lizarazo, Jos{\'e} Orlando},
  journal={Suma Psicol{\'o}gica},
  volume={27},
  number={1},
  pages={9--17},
  year={2020},
  publisher={Fundaci{\'o}n Universitaria Konrad Lorenz},
  doi={10.14349/sumapsi.2020.v27.n1.2}
}"	ID_001 | Contrast: Age influence;ID_017 | Contrast: Age influence	Metacognition - Differences;Metacognition;Empirical
ID_017	https://www.sciencedirect.com/science/article/pii/S1041608004000585?casa_token=IPsFERJfc5sAAAAA:NmN3eTik5hcf2WEniYLS8FqmDCUBVLqvETKgR1ToJrwzASuwF1synRcaQFXp-z9ZAtQQGPQHNy8	Marcel V.J. Veenman;Marleen A. Spaans	2005	Relation between intellectual and metacognitive skills: Age and task differences	Article	Learning and Individual Differences	"* **metacognitive skillfulness develops alongside, but not fully dependent on intellectual ability**
* **metacognitive skillfulness outweighs intelligence as predictor of learning performance (!)**
* **metacognitive skills appear to be general for third-year students, but rather domain-specific for first-year students**
* A standardized intelligence test was administered to a group of **first-year and third-year secondary-school students (32 participants so severly underpowered)**. Students in random order solved six math word problems while thinking aloud and performed an inductive-learning task in the domain of biology
* Metacognitive skillfulness was assessed through systematic observation and computer log-files, while learning performance was measured by performance on the math task and a biology questionnaire"		"@article{veenman2005relation,
  title={Relation between intellectual and metacognitive skills: Age and task differences},
  author={Veenman, Marcel VJ and Spaans, Marleen A},
  journal={Learning and individual differences},
  volume={15},
  number={2},
  pages={159--176},
  year={2005},
  publisher={Elsevier},
  doi={10.1016/j.lindif.2004.12.001}
}"	ID_004 | Supports: Notion metacognitive regulation age	Metacognition - Differences;Metacognition;Empirical;Secondary Education
ID_018	https://publications.deshbhagatuniversity.in/wp-content/uploads/2024/07/2022ED-04.pdf	Ramanpreet Kaur	2022	Metacognition and its Relationship with Students’ Academic Performance	Article	Edu - Psycatia An International Journal of Education and Psychology	"* findings revealed a significant **positive relationship between student’s academic performance and metacognitive awareness**
* significant **difference in metacognition awareness between Form 2 and Form 5 students with Form 5 having higher awareness**
* **no significant difference in metacognition awareness between male and female**
across all academic years
* Used MAI
* 73 high school students (form 2 and form 5)"		"@article{kaur2022metacognition,
  author    = {Kaur, Ramanpreet},
  title     = {Metacognition and its relationship with students' academic performance},
  journal   = {Edu-Psycatia: An International Journal of Education and Psychology},
  year      = {2022},
  volume    = {9},
  number    = {9},
  pages     = {22--27},
  issn      = {2348-0785}
}"	ID_001 | Support: Gender null influence;ID_016 | Support: Gender null influence;ID_017 | Support: Age influence	Metacognition - Differences;Metacognition;Empirical
ID_019	file:///C:/Users/Janne/Downloads/Paper5,529-535.pdf	Mohsen Mahdavi	2014	An Overview: Metacognition in Education	Article	International Journal of Multidisciplinary and Current Research	* Metacognition is often defined as 'thinking about thinking'	* Explains the subcomponents of metacognitive knowledge and metacognitive regulations with appropriate citations (great for theoretical starting point)	"@article{mahdavi2014overview,
  title={An overview: Metacognition in education},
  author={Mahdavi, Mohsen and others},
  journal={International Journal of Multidisciplinary and current research},
  volume={2},
  number={3},
  pages={529--535},
  year={2014}
}"	ID_009 | Explains subaxis in more detail;ID_044 | Talks about NFCC (moderats metacongition with AI);ID_066 | Cite when differentiating knowledge/regulation	Metacognition - Framework;Metacognition
ID_020	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11208815&casa_token=ADwJKl141kAAAAAA:I_GFifsZnip_mwXBnzfEL3tOB0iSFLG0TAODhxxhJfVt0qU-Vy26t0dgfVon4doXYrW9eR3-Sb4&tag=1	Steffen Holter;Caterina Moruzzi;Mennatallah El-Assady	2025	Toward Agency in Human–AI Collaboration	Article	IEEE Computer Graphics and Applications	"* [introduces] **design space for reasoning about agency in human–AI collaboration**
* also defines agency (gives two definitions)
* works theortical thorugh lit review and expert interviews
* Introduces three dimensions of agency (with subcaegorys): 
* 1. **Distribution** (Who has agency?)
* 2. **Modeling** (How is agency managed?)
* 3. **Attribution** (How is agency observed?)"		"@article{holter2025towards,
  title={Towards agency in human-AI collaboration},
  author={Holter, Steffen and Moruzzi, Caterina and El-Assady, Mennatallah},
  journal={IEEE Computer Graphics and Applications},
  year={2025},
  publisher={IEEE}
}"		Agency;El-Assady;Design
ID_021	https://arxiv.org/pdf/2603.19634	Anjali Singh;Karan Taneja;Zhitong Guan;Soo Young Rieh	2026	MetaCues: Enabling Critical Engagement with Generative AI for Information Seeking and Sensemaking	Preprint	-	"* **GenAI search tools** are increasingly used for information seeking, yet their design tends to encourage cognitive offloading, which may lead to passive engagement, selective attention --> **Effective use requires metacognitive engagement to craft good prompts**, verify AI outputs, and critically engage with information
* **developed MetaCues, a GenAI-based interactive tool for information seeking** that delivers **metacognitive cues** alongside AI responses and a **notetaking interface** to guide users’ search and associated learning
* online study (𝑁 = 146)
* findings regarding **participants’ search behavior show that MetaCues leads to increased confidence** in attitudinal judgments about the search topic **as well as broader inquiry**
* **Design consideration**: participants expressed a preference for cues that recognized ongoing effective behaviors rather than redundantly prompting actions they believed they were already performing
* **MetaCues showed higher query divergance** for one of the two questions asked in the experiment
* **MetaCues led to significantly higher confidence in the resulting attitudinal judgments** compared to the baseline tool, which reflects potentially greater perceived epistemic grounding resulting from deeper engagement with sources, reflection, and inquiry."		"@misc{authorYEARkeyword,
  author = {Singh, Anjali and Taneja, Karan and Guan, Zhitong and Rieh, Soo Young},
  title         = {MetaCues: Enabling Critical Engagement with Generative AI for Information Seeking and Sensemaking},
  year          = {2026},
  archiveprefix = {arXiv},
}"	ID_012 | Motivated;investigates GenAI Search | ;ID_022 | Talks about teaching prompting practices;ID_047 | Builds up on (no WOZ), cite thogether!!!!	Metacognition - Intervention;Metacognition;Empirical;GenAI
